City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Arlit,NE,18.7369,7.3853,85.86,24,65,8.68,broken clouds
256,Ponta Delgada,PT,37.7333,-25.6667,65.5,67,75,3.44,broken clouds
257,Sitka,US,57.0531,-135.33,55.29,62,20,18.41,few clouds
258,Ekhabi,RU,53.5102,142.9671,52.11,75,100,8.68,overcast clouds
259,Wajir,KE,1.7471,40.0573,74.7,81,10,9.26,clear sky
260,Grand-Lahou,CI,5.1367,-5.0242,76.98,87,53,4.92,broken clouds
261,Kingaroy,AU,-26.5333,151.8333,64.44,82,100,10.36,overcast clouds
262,Bubaque,GW,11.2833,-15.8333,77.97,79,100,10.0,overcast clouds
263,Pacific Grove,US,36.6177,-121.9166,71.2,84,0,8.99,clear sky
264,Qaqortoq,GL,60.7167,-46.0333,34.57,75,2,4.27,clear sky
265,Opuwo,NA,-18.0607,13.84,57.29,34,0,5.57,clear sky
266,Rambha,IN,19.5167,85.1,83.16,78,6,8.77,clear sky
267,Basoda,IN,23.85,77.9333,89.02,28,1,4.63,clear sky
268,Casma,CL,-41.0082,-73.1244,37.0,94,0,3.67,clear sky
269,Klaksvik,FO,62.2266,-6.589,45.52,77,5,17.69,clear sky
270,Kavieng,PG,-2.5744,150.7967,83.98,66,100,5.99,overcast clouds
271,Sarangani,PH,5.4033,125.4636,80.56,79,100,10.25,moderate rain
272,Bulgan,MN,48.8125,103.5347,64.09,33,100,3.18,overcast clouds
273,Boende,CD,-0.2167,20.8667,70.48,96,88,1.59,overcast clouds
274,Olafsvik,IS,64.8945,-23.7142,42.57,81,95,9.91,overcast clouds
275,Malartic,CA,48.1335,-78.1328,64.51,70,100,3.87,overcast clouds
276,Banjar,ID,-8.19,114.9675,83.5,78,94,1.1,moderate rain
277,Riyadh,SA,24.6877,46.7219,80.74,20,0,8.32,clear sky
278,Jardim,BR,-21.4803,-56.1381,69.96,49,100,2.64,overcast clouds
279,Boguchany,RU,58.3814,97.4531,52.25,80,100,8.88,overcast clouds
280,Torbay,CA,47.6666,-52.7314,40.26,68,20,5.75,few clouds
281,Summerville,US,33.0185,-80.1757,76.95,85,0,11.5,clear sky
282,Leogane,HT,18.5108,-72.6339,82.6,80,7,4.52,clear sky
283,Bulawayo,ZW,-20.15,28.5833,55.36,49,0,3.22,clear sky
284,Marsa Matruh,EG,31.3525,27.2453,66.4,88,0,3.44,clear sky
285,Pedro Juan Caballero,PY,-22.5472,-55.7333,65.14,62,0,6.53,clear sky
286,Narsaq,GL,60.9167,-46.05,39.42,67,0,2.98,clear sky
287,Alice Springs,AU,-23.7,133.8833,69.22,32,0,8.05,clear sky
288,Ganta,LR,7.3022,-8.5308,67.55,100,92,2.66,light rain
289,Coihaique,CL,-45.5752,-72.0662,31.95,86,20,5.75,few clouds
290,Mozelos,PT,41.8677,-8.3978,56.82,80,14,5.75,few clouds
291,Kattivakkam,IN,13.2167,80.3167,84.29,79,78,16.28,broken clouds
292,Constitucion,CL,-35.3333,-72.4167,49.5,76,85,6.73,overcast clouds
293,Palmas De Monte Alto,BR,-14.2672,-43.1619,70.5,57,53,7.76,broken clouds
294,Riberalta,BO,-10.9833,-66.1,77.31,60,24,1.66,few clouds
295,Rio Grande,BR,-32.035,-52.0986,60.94,98,100,10.94,light rain
296,Kahului,US,20.8947,-156.47,82.42,58,40,17.27,scattered clouds
297,Westport,US,41.1415,-73.3579,59.61,73,0,5.01,clear sky
298,Axim,GH,4.8699,-2.2405,77.9,84,71,4.18,light rain
299,Acarau,BR,-2.8856,-40.12,77.05,87,1,9.51,clear sky
300,Mookane,BW,-23.688,26.6595,59.38,37,0,5.88,clear sky
301,Jabinyanah,TN,35.035,10.9081,71.92,75,92,6.31,overcast clouds
302,Filingue,NE,14.3521,3.3168,92.23,22,20,4.83,few clouds
303,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,40,6.91,scattered clouds
304,Coahuayana,MX,18.7333,-103.6833,78.85,72,98,5.26,overcast clouds
305,Narkevychi,UA,49.5172,26.6418,52.7,96,100,15.97,overcast clouds
306,Vanimo,PG,-2.6741,141.3028,85.1,67,93,1.28,overcast clouds
307,Rantauprapat,ID,2.1,99.8333,78.87,81,100,0.72,overcast clouds
308,Port Augusta,AU,-32.5,137.7667,62.6,68,3,6.04,clear sky
309,Pervomayskoye,RU,43.919,46.7102,53.33,74,14,7.65,few clouds
310,Broome,US,42.2506,-75.833,68.2,59,0,8.05,clear sky
311,Namatanai,PG,-3.6667,152.4333,84.4,66,98,3.09,overcast clouds
312,Salalah,OM,17.0151,54.0924,79.81,81,64,5.77,broken clouds
313,Dali,CN,25.7,100.1833,67.96,78,93,4.76,overcast clouds
314,Nigde,TR,37.8333,34.75,49.46,64,0,1.01,clear sky
315,Barabinsk,RU,55.3571,78.357,65.55,64,98,10.65,overcast clouds
316,La Ciotat,FR,43.1748,5.6045,66.45,83,44,3.85,scattered clouds
317,Pichayevo,RU,53.2363,42.2032,39.69,71,81,6.17,broken clouds
318,Kainantu,PG,-6.2887,145.8655,73.78,60,48,2.95,scattered clouds
319,Te Anau,NZ,-45.4167,167.7167,44.65,73,6,1.25,clear sky
320,Xanxere,BR,-26.8769,-52.4042,55.78,88,0,4.29,clear sky
321,Menongue,AO,-14.6585,17.691,48.16,55,0,3.09,clear sky
322,Yaizu,JP,34.8667,138.3333,71.29,73,75,8.05,broken clouds
323,Youghal,IE,51.95,-7.8506,54.61,100,55,12.28,broken clouds
324,Batemans Bay,AU,-35.7167,150.1833,64.54,58,100,4.14,light rain
325,Avera,US,33.194,-82.5271,78.31,66,100,14.03,overcast clouds
326,Bria,CF,6.5423,21.9863,68.59,95,98,3.42,overcast clouds
327,Ajaccio,FR,42.0,8.9167,62.58,77,0,2.3,clear sky
328,Waddan,LY,29.1614,16.139,84.99,9,0,20.78,clear sky
329,Ouegoa,NC,-20.35,164.4333,80.42,64,22,3.58,few clouds
330,Charters Towers,AU,-20.1,146.2667,75.4,53,0,9.06,clear sky
331,Sao Joao De Pirabas,BR,-0.7747,-47.1772,74.52,95,98,4.97,overcast clouds
332,Jalu,LY,29.0331,21.5482,82.27,12,0,6.71,clear sky
333,Talaya,RU,61.3833,152.75,42.35,77,100,4.81,overcast clouds
334,Purpe,RU,64.4803,76.6897,49.8,52,84,11.39,broken clouds
335,Sabang,ID,5.8933,95.3214,83.86,73,100,13.85,overcast clouds
336,Tahe,CN,52.3333,124.7333,74.14,26,18,4.16,few clouds
337,Oistins,BB,13.0667,-59.5333,80.69,78,40,16.11,scattered clouds
338,Kargil,IN,34.5667,76.1,49.23,42,11,3.11,few clouds
339,Jaque,PA,7.5175,-78.1703,79.23,86,100,4.38,overcast clouds
340,Mokhotlong,LS,-29.2894,29.0675,40.77,71,0,2.95,clear sky
341,Aykhal,RU,66.0,111.5,32.0,74,100,14.67,overcast clouds
342,Cabra,ES,37.4725,-4.4421,59.04,43,21,3.47,few clouds
343,Fort Nelson,CA,58.8053,-122.7002,54.99,47,75,9.22,shower rain
344,Springbok,ZA,-29.6643,17.8865,48.83,70,0,2.53,clear sky
345,Nuuk,GL,64.1835,-51.7216,36.21,69,20,6.91,few clouds
346,Chengde,CN,40.9725,117.9361,74.82,19,26,10.63,scattered clouds
